source,type,score,scored_by,status,episodes,members
manga,tv,8.46,318183,finished_airing,112.0,660012
manga,tv,9.04,228236,finished_airing,51.0,531630
visual_novel,tv,8.19,654584,finished_airing,12.0,1033375
manga,tv,8.16,819214,finished_airing,291.0,1185513
light_novel,tv,8.71,245697,finished_airing,12.0,444858
manga,tv,8.15,871550,finished_airing,13.0,1412731
manga,tv,8.22,527134,finished_airing,25.0,827438
light_novel,tv,8.11,1224135,finished_airing,10.0,1880349
manga,tv,8.36,344123,finished_airing,20.0,823295
manga,tv,8.3,393618,finished_airing,13.0,795496
web_manga,tv,8.38,330850,finished_airing,12.0,643253
light_novel,movie,8.57,259430,finished_airing,1.0,428761
manga,tv,8.15,799675,finished_airing,170.0,1575401
manga,tv,8.14,825679,finished_airing,24.0,1356728
manga,tv,9.0,216427,finished_airing,13.0,440246
light_novel,tv,8.08,1495313,finished_airing,12.0,2322875
manga,tv,8.16,660351,finished_airing,26.0,1089289
light_novel,tv,8.08,1340380,finished_airing,25.0,2136794
manga,tv,8.09,1144702,finished_airing,22.0,1934141
visual_novel,ova,8.41,295085,finished_airing,2.0,493394
manga,tv,8.22,446717,finished_airing,25.0,819755
manga,tv,8.11,872740,finished_airing,51.0,1434654
manga,tv,8.34,323007,finished_airing,11.0,648679
web_manga,movie,8.62,233089,finished_airing,1.0,430588
manga,tv,8.17,549954,finished_airing,11.0,977831
manga,tv,8.41,277745,finished_airing,62.0,569533
manga,tv,8.55,242505,finished_airing,25.0,478346
original,tv,8.06,1253795,finished_airing,13.0,2021861
web_manga,tv,8.23,402861,finished_airing,12.0,798433
manga,tv,8.19,468837,finished_airing,12.0,812246
manga,tv,8.1,824235,finished_airing,24.0,1161534
manga,tv,8.54,239483,finished_airing,47.0,627835
light_novel,tv,8.28,359007,finished_airing,11.0,703170
manga,tv,8.83,205554,finished_airing,24.0,480608
light_novel,movie,8.19,456837,finished_airing,1.0,839627
novel,tv,8.31,324519,finished_airing,24.0,716086
manga,tv,8.04,1388762,finished_airing,25.0,2104689
manga,tv,8.38,272933,finished_airing,22.0,657801
original,movie,8.3,320847,finished_airing,1.0,522392
light_novel,movie,8.37,274194,finished_airing,1.0,511474
light_novel,tv,8.11,651189,finished_airing,24.0,1369052
manga,tv,8.33,296510,finished_airing,11.0,542452
manga,movie,8.16,491351,finished_airing,1.0,813964
manga,tv,8.93,192434,finished_airing,22.0,387025
light_novel,tv,8.22,382453,finished_airing,13.0,792403
manga,tv,8.09,704371,finished_airing,13.0,1104116
manga,tv,8.33,280490,finished_airing,24.0,578541
manga,tv,8.22,372394,finished_airing,25.0,784843
light_novel,tv,8.08,691255,finished_airing,24.0,1213910
light_novel,tv,8.88,184888,finished_airing,7.0,383813
novel,movie,8.22,360797,finished_airing,1.0,554785
manga,movie,8.27,318376,finished_airing,1.0,609979
original,tv,8.68,196182,finished_airing,13.0,397646
manga,tv,8.22,359862,finished_airing,26.0,733966
original,tv,8.04,925117,finished_airing,24.0,1670745
original,tv,8.09,599323,finished_airing,11.0,1127895
light_novel,tv,8.45,228195,finished_airing,12.0,464865
manga,tv,7.99,1901147,finished_airing,220.0,2742992
visual_novel,movie,8.5,216035,finished_airing,1.0,369682
manga,tv,8.06,688413,finished_airing,25.0,1164534
light_novel,movie,8.41,232187,finished_airing,1.0,396946
light_novel,tv,8.31,268115,finished_airing,12.0,478597
original,movie,8.47,216986,finished_airing,1.0,364386
original,tv,8.52,208819,finished_airing,13.0,483735
novel,tv,8.07,621051,finished_airing,22.0,1327009
manga,tv,8.35,246353,finished_airing,25.0,563071
original,tv,8.41,227934,finished_airing,13.0,505769
original,movie,8.26,292231,finished_airing,1.0,465366
manga,tv,8.36,238560,finished_airing,11.0,483033
visual_novel,special,8.29,269608,finished_airing,1.0,426513
light_novel,tv,8.14,422334,finished_airing,11.0,715137
manga,special,9.04,170844,currently_airing,2.0,462550
novel,tv,8.28,271904,finished_airing,25.0,760398
4_koma_manga,tv,8.17,373504,finished_airing,26.0,673633
light_novel,tv,8.32,250329,finished_airing,20.0,503728
manga,tv,8.22,311303,finished_airing,12.0,592671
novel,movie,8.11,445337,finished_airing,1.0,771872
light_novel,tv,8.01,822827,finished_airing,13.0,1383988
manga,tv,8.29,257211,finished_airing,12.0,526974
manga,movie,8.36,225975,finished_airing,1.0,360571
original,tv,8.22,302342,finished_airing,23.0,624119
visual_novel,movie,8.68,173518,finished_airing,1.0,328939
manga,tv,8.53,189899,finished_airing,25.0,322792
manga,tv,8.01,709814,finished_airing,26.0,1210811
manga,tv,8.62,176935,finished_airing,11.0,378345
manga,tv,9.03,159081,finished_airing,13.0,312220
visual_novel,tv,8.0,740473,finished_airing,23.0,1379703
manga,tv,7.95,1235408,finished_airing,12.0,2094249
light_novel,tv,7.97,942524,finished_airing,25.0,1514011
original,movie,8.38,207777,finished_airing,1.0,363968
novel,movie,8.41,198246,finished_airing,1.0,389911
web_manga,tv,8.66,167620,finished_airing,12.0,396372
manga,tv,8.29,231962,finished_airing,94.0,481905
manga,tv,8.19,290613,finished_airing,25.0,606486
manga,tv,8.17,307748,finished_airing,12.0,501041
manga,tv,8.35,207858,finished_airing,25.0,345753
manga,tv,8.5,179755,finished_airing,25.0,458414
manga,tv,8.02,538153,finished_airing,25.0,1014487
original,tv,8.06,429389,finished_airing,25.0,922752
manga,tv,8.07,405450,finished_airing,12.0,674937
manga,tv,8.0,576411,finished_airing,12.0,944001
music,music,8.31,215260,finished_airing,1.0,319707
manga,tv,8.03,476082,finished_airing,12.0,968923
manga,tv,7.98,642705,finished_airing,24.0,1173035
manga,tv,8.66,158388,finished_airing,26.0,271071
manga,tv,7.92,1081304,finished_airing,366.0,1878216
manga,tv,7.96,720051,finished_airing,13.0,1192782
manga,tv,8.39,188084,finished_airing,12.0,439642
light_novel,tv,8.31,209673,finished_airing,12.0,548257
manga,tv,7.89,1995309,finished_airing,13.0,2908788
manga,tv,7.96,645581,finished_airing,153.0,998144
original,movie,8.4,179744,finished_airing,1.0,408607
original,ova,8.03,421826,finished_airing,6.0,793119
manga,tv,8.98,139742,finished_airing,12.0,300977
original,movie,8.25,219308,finished_airing,1.0,411284
4_koma_manga,movie,8.35,188081,finished_airing,1.0,319379
manga,tv,7.9,1032191,finished_airing,25.0,1650739
web_manga,tv,7.97,558488,finished_airing,13.0,998176
manga,tv,8.1,324349,finished_airing,13.0,629140
light_novel,tv,7.91,910293,finished_airing,13.0,1525938
manga,tv,8.06,371572,finished_airing,24.0,887707
manga,movie,8.16,263391,finished_airing,1.0,378346
manga,tv,8.03,402222,finished_airing,24.0,822797
light_novel,tv,8.13,290169,finished_airing,13.0,537993
light_novel,special,8.33,187745,finished_airing,1.0,314186
visual_novel,tv,8.18,248434,finished_airing,24.0,468751
manga,tv,8.27,205802,finished_airing,12.0,466045
manga,tv,7.89,1026522,finished_airing,26.0,1589584
manga,tv,8.0,439135,finished_airing,25.0,901233
manga,ona,8.17,248849,finished_airing,12.0,460568
original,movie,8.6,145256,finished_airing,1.0,352411
original,movie,8.28,196061,finished_airing,1.0,362633
manga,tv,8.33,179983,finished_airing,26.0,358800
visual_novel,movie,8.17,241808,finished_airing,1.0,436148
web_manga,special,8.2,223411,finished_airing,4.0,374836
light_novel,tv,7.96,479123,finished_airing,12.0,877792
manga,tv,8.16,243880,finished_airing,13.0,537088
manga,tv,8.48,152855,finished_airing,26.0,383565
manga,tv,8.31,180709,finished_airing,13.0,523622
manga,tv,8.42,161111,finished_airing,26.0,387190
web_manga,tv,7.94,500969,finished_airing,11.0,938778
original,tv,8.09,284056,finished_airing,13.0,730354
manga,tv,8.13,256186,finished_airing,203.0,546221
light_novel,tv,7.92,566048,finished_airing,25.0,1088262
manga,ova,8.71,135013,finished_airing,4.0,270356
manga,movie,8.91,130745,finished_airing,1.0,231506
manga,tv,8.19,216452,finished_airing,12.0,455771
manga,tv,8.21,209012,finished_airing,12.0,389161
novel,tv,8.56,139954,finished_airing,11.0,433462
light_novel,tv,7.92,536959,finished_airing,13.0,863873
manga,tv,8.14,242950,finished_airing,12.0,492348
manga,tv,7.96,416709,finished_airing,12.0,697361
manga,movie,8.22,193719,finished_airing,1.0,343151
original,tv,8.19,207038,finished_airing,13.0,436704
manga,tv,8.6,134850,finished_airing,25.0,245049
manga,tv,8.31,167468,finished_airing,12.0,374163
original,tv,7.9,515585,finished_airing,12.0,856896
original,movie,8.0,334745,finished_airing,1.0,543539
manga,tv,8.16,214059,finished_airing,70.0,423634
original,tv,7.91,458776,finished_airing,13.0,912108
light_novel,tv,7.86,738047,finished_airing,12.0,1171755
original,movie,8.03,289253,finished_airing,1.0,509458
